platform,rating,text,date,thumbsUp,reviewer
Just Eat,1,"currently broken. ""We're sorry, but there has been an error with checkout.""",2025-10-18 00:41:19,0,James Brophy
Just Eat,5,Easy and handy,2025-10-15 01:09:06,0,A Google user
Just Eat,5,thank you for fast delivery,2025-10-14 00:24:20,0,Marc Cinco
Just Eat,5,food quality excellent,2025-10-13 20:50:09,0,Lorna McDonald
Just Eat,1,"do jot download this app! the delivery riders will Rob your food! no support to the customer, the restaurant will not take accountability as the food is with the rider, and the customer support will try their hardest not to give you a refund , stay away from this app, you food will make it home.",2025-10-13 20:36:30,0,Sniper Guru
Just Eat,1,"no cash option, cash is king",2025-10-12 02:54:38,0,Donal Callaghan
Just Eat,5,peak,2025-10-11 23:51:57,0,Andrew Barrett
Just Eat,5,easy to use and handy.,2025-10-11 22:15:32,0,Justin Mc Phillips
Just Eat,1,very annoying every time closes the window after verification code was sent,2025-10-10 22:43:33,0,Csopi
Just Eat,5,very easy to navigate!,2025-10-07 23:27:17,0,Suzanne Finnerty
Just Eat,1,You cancelled our order after 1 hour waiting with no explanation or apology. Then we order from somewhere else and after 20 mins you now tell us the delivery is delayed until 10:30pm You then prevent us from cancelling the order because you will still still our money. You have no means of contacting support! I ordered at 7:30pm and will be lucky to get my dinner at 10:30pm because you won't let me cancel and go elsewhere. You are thieves and I'll do what I can to get justice,2025-10-05 01:18:47,1,Neil M
Just Eat,1,"Editing because I've had ANOTHER bad experience. Just Eat canceled my order and didn't notify me or the restaurant. Absolutely useless, horrible people.",2025-10-04 01:24:13,0,Ciaran Hyland
Just Eat,3,Chat is atrocious and getting to different menus is a horrible experience. Getting stuck in a loop when going through the Help flow. The navigation is incorrect when attempting to navigate back using system up keys.,2025-10-04 00:53:10,0,Dennis Petcu
Just Eat,1,"it is simply impossible to get support for them, there is no point using this app, just call the restaurant directly",2025-10-04 00:26:01,0,Rodrigo Correia
Just Eat,1,Service has drastically declined over the years. Absolutely terrible.,2025-10-03 23:15:48,2,Miss Topertunity
Just Eat,5,good as always,2025-10-03 23:05:41,0,Kristian Kotze
Just Eat,1,service fee,2025-10-03 21:50:05,0,Tomas Kenny
Just Eat,4,The app is good but I would have liked if there was a helpline number to call when there's any problem.,2025-10-03 18:28:06,0,JITHIN
Just Eat,1,since the last update the app doesn't let me order food a food ordering app that I can't order food on not much use really,2025-09-26 23:02:33,0,sean
Just Eat,4,now that you can choose a pick up location on delivery has been life changing for either making sure you didn't put down wrong address or living in apartment honestly good job just eat,2025-09-26 03:06:00,0,richieoc123
Just Eat,4,Seamless and straightforward sign in. Address determination all a breeze before you know it you're eating.,2025-09-26 01:37:02,0,Jk
Just Eat,3,"why no updates for new recipes, and limited meals",2025-09-24 22:54:28,0,Sirak Aksor
Just Eat,3,Customer Service can be unreliable,2025-09-23 18:02:57,0,Killian Flood
Just Eat,5,always lovely food 😋,2025-09-23 00:40:32,0,Zara Hunter
Just Eat,5,I love this app so handy to use and easy,2025-09-20 22:59:52,0,sharon brien
Just Eat,1,1.5 hours for a burger 😒,2025-09-20 21:49:31,0,Emmet Stafford
Just Eat,1,got charged twice for food haven't received my refund,2025-09-19 23:10:43,0,Bernie O'Brien
Just Eat,5,love it .,2025-09-18 22:31:49,0,Christopher Cullen
Just Eat,1,"Great app for browsing and ordering food, but the fact that there are no ways to contact the food couriers means they can just mark the delivery done even though they didn't deliver the food and that's it,nothing can be done. Customer service says no one has access to driver details, meaning anyone can sign up as a courier and just take the food for themselves no issues. Basically, anyone out there looking for free food just sign up as a courier and take what you want. Shameful, really.",2025-09-16 02:16:33,1,Milan Zubić
Just Eat,1,"Ordered 3 happy meal, 3 cheeseburger and drinks. Missing cheeseburger, Missing fries. This delivery was by Justeat in sealed bags. Rubbish service that have kids party ruined. Kids seating with out food. Service quality is Rubbish. McDonald's and partners have let us down not first time. Tallaght square staff have no focus to satisfy customers and have delivery packed as per my spend money.",2025-09-13 22:28:18,0,Romuald Gvozdovic
